City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.27,90,100,14.67,TF,1727391750
1,tura,25.5198,90.2201,22.11,98,100,1.35,IN,1727391751
2,badger,64.8,-147.5333,6.66,85,100,2.06,US,1727391753
3,pacific grove,36.6177,-121.9166,19.12,92,3,3.13,US,1727391688
4,port elizabeth,-33.918,25.5701,15.16,85,0,3.09,ZA,1727391755
5,anadyr,64.75,177.4833,3.28,74,75,2.0,RU,1727391756
6,puerto deseado,-47.7503,-65.8938,11.89,37,64,8.9,AR,1727391757
7,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,66,0,2.0,RU,1727391758
8,grytviken,-54.2811,-36.5092,-0.63,79,56,10.46,GS,1727391759
9,tierp,60.3427,17.5181,12.19,98,100,2.81,SE,1727391760
10,kavieng,-2.5744,150.7967,29.02,70,26,2.14,PG,1727391761
11,veraval,20.9,70.3667,25.65,92,100,5.65,IN,1727391762
12,yellowknife,62.456,-114.3525,10.23,90,100,6.17,CA,1727391644
13,nantucket,41.2835,-70.0995,18.06,88,100,5.14,US,1727391537
14,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1727391766
15,kone,-21.0595,164.8658,29.27,41,20,2.62,NC,1727391767
16,hermanus,-34.4187,19.2345,14.89,89,95,1.94,ZA,1727391768
17,hamilton,39.1834,-84.5333,22.45,85,100,5.66,US,1727391337
18,ust-nera,64.5667,143.2,2.99,77,73,2.32,RU,1727391770
19,zamboanguita,9.1025,123.1996,24.97,84,96,3.2,PH,1727391773
20,invercargill,-46.4,168.35,3.9,93,100,3.13,NZ,1727391774
21,affery,6.315,-3.9603,22.22,99,66,1.39,CI,1727391775
22,lazaro cardenas,17.9583,-102.2,23.82,97,100,8.94,MX,1727391776
23,moyale,3.5167,39.0584,19.75,66,86,6.84,KE,1727391734
24,ostersund,63.1792,14.6357,4.25,94,55,2.06,SE,1727391612
25,shuangyang,43.5242,125.6736,10.44,80,1,1.17,CN,1727391779
26,blackmans bay,-43.0167,147.3167,11.52,66,41,2.12,AU,1727391780
27,el jadid,33.2549,-8.506,21.61,89,42,3.66,MA,1727391636
28,thompson,55.7435,-97.8558,25.09,50,75,2.57,CA,1727391782
29,bhadrakh,21.0528,86.52,24.91,97,100,2.21,IN,1727391783
30,nemuro,43.3236,145.575,16.71,96,100,4.76,JP,1727391784
31,adamstown,-25.066,-130.1015,21.38,89,40,5.77,PN,1727391786
32,touros,-5.1989,-35.4608,24.63,77,23,7.86,BR,1727391787
33,hadibu,12.65,54.0333,25.09,84,64,6.94,YE,1727391788
34,lauderdale-by-the-sea,26.192,-80.0964,30.01,74,20,10.8,US,1727391789
35,klyuchi,52.2667,79.1667,2.32,74,86,3.15,RU,1727391790
36,arinos,-15.9169,-46.1056,27.56,25,2,1.71,BR,1727391690
37,dunedin,-45.8742,170.5036,9.33,45,37,4.02,NZ,1727391566
38,tondano,1.3038,124.9112,22.05,80,100,0.51,ID,1727391793
39,ha'il,27.5219,41.6907,27.01,26,0,1.03,SA,1727391640
40,mangrol,21.1167,70.1167,26.5,88,100,5.82,IN,1727391795
41,island harbour,50.724,-1.2758,12.78,88,94,5.36,GB,1727391796
42,colonia,50.9333,6.95,15.36,86,20,4.63,DE,1727391605
43,portland,45.5234,-122.6762,22.74,58,20,2.57,US,1727391545
44,ancud,-41.8697,-73.8203,6.0,73,100,2.13,CL,1727391606
45,stanley,54.868,-1.6985,9.04,84,75,8.75,GB,1727391803
46,puerto ayora,-0.7393,-90.3518,20.86,92,100,1.34,EC,1727391804
47,udachny,66.4167,112.4,-0.45,86,59,1.83,RU,1727391805
48,la passe,45.5549,-0.8967,15.69,75,8,9.35,FR,1727391806
49,lukolela,-1.0605,17.1821,21.82,98,98,1.1,CD,1727391807
50,avarua,-21.2078,-159.775,23.03,68,75,3.6,CK,1727391808
51,albany,42.6001,-73.9662,17.37,81,100,0.91,US,1727391622
52,nar'yan-mar,67.6713,53.087,11.9,88,89,7.1,RU,1727391811
53,waitangi,-43.9535,-176.5597,7.68,96,100,3.58,NZ,1727391812
54,edinburgh of the seven seas,-37.0676,-12.3116,13.88,91,98,12.34,SH,1727391813
55,kapa'a,22.0752,-159.319,29.15,61,96,2.68,US,1727391814
56,bethel,41.3712,-73.414,22.05,90,100,0.45,US,1727391815
57,camiri,-20.05,-63.5167,16.88,88,100,2.57,BO,1727391816
58,longyearbyen,78.2186,15.6401,-0.09,64,40,12.35,SJ,1727391817
59,puerto natales,-51.7236,-72.4875,7.25,87,75,11.32,CL,1727391789
60,iqaluit,63.7506,-68.5145,4.85,86,75,2.06,CA,1727391820
61,sarupathar,26.1984,93.8094,22.6,98,100,0.6,IN,1727391821
62,kidal,18.4411,1.4078,32.96,27,3,4.86,ML,1727391822
63,popayan,2.4382,-76.6132,17.26,90,100,0.31,CO,1727391745
64,whitehorse,60.7161,-135.0538,10.05,52,20,4.63,CA,1727391678
65,punta arenas,-53.15,-70.9167,9.06,66,40,15.95,CL,1727391693
